episode, step, reward, loss
===========================================2019-06-15 22:01:34.171658
21,0,3960.0,835352.4
21,1,4140.0,721888.9
21,2,3960.0,1506416.0
21,3,3660.0,1336983.5
21,4,3720.0,2972051.0
21,5,3540.0,1331091.5
21,6,3900.0,1847388.6
21,7,3600.0,1268304.4
21,8,3660.0,679575.06
21,9,3720.0,1236730.2
22,0,3660.0,1647083.9
22,1,3600.0,1557159.2
22,2,3720.0,1789886.6
===========================================2019-06-16 00:36:09.424172
0,0,3300.0,1055615.8
0,1,4260.0,2874249.8
0,2,4200.0,3297295.8
0,3,3540.0,1461083.1
0,4,4200.0,1226347.0
0,5,4200.0,623570.25
0,6,4200.0,479711.94
0,7,4260.0,681348.5
0,8,4200.0,947810.44
0,9,4140.0,744126.4
1,0,4200.0,7623459.5
1,1,3900.0,11131623.0
1,2,4200.0,2154299.5
1,3,4200.0,6691091.5
1,4,4260.0,1307856.9
1,5,4200.0,4183261.5
1,6,4260.0,1078462.4
1,7,4260.0,2859557.5
1,8,4200.0,490148.22
1,9,3780.0,1835349.2
2,0,4140.0,1197583.0
2,1,4140.0,907219.94
2,2,4200.0,816851.2
2,3,4200.0,858595.5
2,4,4200.0,850308.2
2,5,4260.0,508427.94
2,6,4320.0,695603.06
2,7,4200.0,498848.44
2,8,4260.0,598566.9
2,9,4200.0,412822.56
3,0,3960.0,502866.66
3,1,4200.0,398428.0
3,2,4140.0,442891.56
3,3,4200.0,363760.34
3,4,4140.0,394258.62
3,5,4200.0,366819.22
3,6,4260.0,339744.88
3,7,4260.0,327525.25
3,8,4140.0,355997.78
3,9,4020.0,367196.0
4,0,4800.0,348572.6
4,1,4260.0,323063.44
4,2,4320.0,234700.22
4,3,4200.0,309449.53
4,4,3960.0,310990.6
4,5,4020.0,354437.62
4,6,3840.0,320114.06
4,7,3840.0,331388.22
4,8,4020.0,221882.69
4,9,3960.0,219537.12
5,0,4080.0,251574.6
5,1,4320.0,184448.08
5,2,4020.0,353615.84
5,3,3960.0,247414.12
5,4,4200.0,152334.52
5,5,4200.0,238028.45
5,6,4200.0,344205.88
5,7,4200.0,234645.94
5,8,4200.0,267825.38
5,9,4020.0,323241.0
6,0,3960.0,305563.4
6,1,4260.0,335044.06
6,2,4200.0,296531.38
6,3,4200.0,322162.7
6,4,4200.0,379584.56
6,5,4260.0,289222.66
6,6,4140.0,269354.66
6,7,4260.0,321845.3
6,8,4320.0,315514.88
6,9,4200.0,330026.66
7,0,4140.0,332560.56
7,1,4200.0,441439.12
7,2,4200.0,508101.12
7,3,4200.0,356111.8
7,4,4200.0,377908.78
7,5,4200.0,298960.47
7,6,3960.0,296427.66
7,7,3780.0,475813.7
7,8,4080.0,521299.56
7,9,3840.0,398122.62
8,0,4140.0,307198.28
8,1,4200.0,381107.2
8,2,4200.0,470405.56
8,3,4200.0,495645.3
8,4,4140.0,482057.8
8,5,4200.0,357588.03
8,6,4200.0,429681.03
8,7,4200.0,365311.7
8,8,4200.0,334668.0
8,9,4140.0,422248.06
9,0,4200.0,437483.06
9,1,4200.0,629060.1
9,2,4140.0,450462.94
9,3,4200.0,363278.44
9,4,4200.0,442444.06
9,5,4020.0,428935.25
9,6,4080.0,294611.0
9,7,4020.0,465176.3
9,8,4140.0,397884.53
9,9,4260.0,415976.34
10,0,4200.0,503214.7
10,1,4200.0,388454.38
10,2,4140.0,417967.03
10,3,4260.0,522786.56
10,4,4200.0,711459.9
10,5,4140.0,566519.6
10,6,4200.0,503382.06
10,7,4140.0,480920.8
10,8,4200.0,406350.8
10,9,4260.0,468051.53
11,0,3900.0,657455.06
11,1,4260.0,594529.44
11,2,4020.0,523505.88
11,3,4260.0,553790.5
11,4,4140.0,780829.4
11,5,4200.0,360936.34
11,6,4200.0,738296.75
11,7,4200.0,582046.75
11,8,3960.0,880176.2
11,9,4140.0,591286.7
12,0,4200.0,940621.5
12,1,4260.0,750093.0
12,2,4200.0,725078.25
12,3,4200.0,546065.9
12,4,4200.0,557885.4
12,5,4200.0,723230.1
12,6,4260.0,424437.88
12,7,4200.0,761825.56
12,8,4200.0,461611.62
12,9,4140.0,753392.5
13,0,4200.0,914177.1
13,1,4320.0,977045.6
13,2,3960.0,748971.25
13,3,4200.0,830153.5
13,4,4320.0,815887.6
13,5,4080.0,772962.06
13,6,4200.0,570359.75
13,7,4140.0,725850.25
13,8,4140.0,842996.1
13,9,4260.0,871807.4
14,0,4200.0,758848.44
14,1,4080.0,892754.5
14,2,4140.0,732178.5
14,3,4260.0,874798.1
14,4,4200.0,1162618.4
14,5,4200.0,852330.7
14,6,4200.0,1089782.8
14,7,4200.0,1262813.4
14,8,4200.0,1259514.5
14,9,4320.0,716293.2
15,0,4200.0,405864.7
15,1,3960.0,1158691.0
15,2,3960.0,1083775.5
15,3,4020.0,308586.6
15,4,4200.0,1236854.2
15,5,4140.0,1131725.4
15,6,4200.0,417028.12
15,7,4320.0,1098001.1
15,8,3960.0,1016090.06
15,9,4200.0,1633061.4
16,0,4620.0,1377575.5
16,1,4200.0,1683583.8
16,2,4200.0,1470408.0
16,3,3780.0,1031889.56
16,4,4140.0,1758217.5
16,5,4140.0,1380713.0
16,6,4080.0,1435923.8
16,7,4200.0,1097145.0
16,8,4200.0,1554478.5
16,9,4140.0,1576185.0
17,0,3900.0,1258258.8
17,1,4140.0,1753148.4
17,2,4080.0,1079835.2
17,3,4260.0,1600682.9
17,4,4200.0,1207005.2
17,5,4200.0,1070655.2
17,6,4260.0,1721387.5
17,7,4200.0,1020444.1
17,8,4260.0,1697719.5
17,9,3960.0,1117287.9
18,0,3960.0,2115956.5
18,1,3900.0,1554540.9
18,2,4140.0,2023390.6
18,3,3960.0,1219470.8
18,4,4080.0,1331399.0
18,5,4500.0,1614387.5
18,6,4200.0,1397505.2
18,7,3720.0,1015722.1
